period,sex,age,initial_state,final_state,calibrated_probability
2010,male,4,1,1,1.0
2010,male,4,1,2,0.0
2010,male,4,1,4,0.0
2010,male,4,1,5,0.0
2010,male,4,2,1,0.0
2010,male,4,2,2,1.0
2010,male,4,2,3,0.0
2010,male,4,2,4,0.0
2010,male,4,2,5,0.0
2010,male,4,3,2,0.0
2010,male,4,3,3,1.0
2010,male,4,3,4,0.0
2010,male,4,3,5,0.0
2010,male,4,4,4,1.0
2010,male,4,4,5,0.0
2010,female,5,0,0,1.0
2010,female,5,0,1,0.0
2010,female,5,0,4,0.0
2010,female,5,0,5,0.0
2010,female,5,1,0,0.0
2010,female,5,1,1,1.0
2010,female,5,1,2,0.0
2010,female,5,1,4,0.0
2010,female,5,1,5,0.0
2010,female,5,2,1,0.0
2010,female,5,2,2,1.0
2010,female,5,2,3,0.0
2010,female,5,2,4,0.0
2010,female,5,2,5,0.0
2010,female,5,3,2,0.0
2010,female,5,3,3,1.0
2010,female,5,3,4,0.0
2010,female,5,3,5,0.0
2010,female,5,4,4,1.0
2010,female,5,4,5,0.0
2010,male,5,0,0,1.0
2010,male,5,0,1,0.0
2010,male,5,0,4,0.0
2010,male,5,0,5,0.0
2010,male,5,1,0,0.0
2010,male,5,1,1,1.0
2010,male,5,1,2,0.0
2010,male,5,1,4,0.0
2010,male,5,1,5,0.0
2010,male,5,2,1,0.0
2010,male,5,2,2,1.0
2010,male,5,2,3,0.0
2010,male,5,2,4,0.0
2010,male,5,2,5,0.0
2010,male,5,3,2,0.0
2010,male,5,3,3,1.0
2010,male,5,3,4,0.0
2010,male,5,3,5,0.0
2010,male,5,4,4,1.0
2010,male,5,4,5,0.0
2010,female,6,0,0,1.0
2010,female,6,0,1,0.0
2010,female,6,0,4,0.0
2010,female,6,0,5,0.0
2010,female,6,1,0,0.0
2010,female,6,1,1,1.0
2010,female,6,1,2,0.0
2010,female,6,1,4,0.0
2010,female,6,1,5,0.0
2010,female,6,2,1,0.0
2010,female,6,2,2,1.0
2010,female,6,2,3,0.0
2010,female,6,2,4,0.0
2010,female,6,2,5,0.0
2010,female,6,3,2,0.0
2010,female,6,3,3,1.0
2010,female,6,3,4,0.0
2010,female,6,3,5,0.0
2010,female,6,4,4,1.0
2010,female,6,4,5,0.0
2010,male,6,0,0,1.0
2010,male,6,0,1,0.0
2010,male,6,0,4,0.0
2010,male,6,0,5,0.0
2010,male,6,1,0,0.0
2010,male,6,1,1,1.0
2010,male,6,1,2,0.0
2010,male,6,1,4,0.0
2010,male,6,1,5,0.0
2010,male,6,2,1,0.0
2010,male,6,2,2,1.0
2010,male,6,2,3,0.0
2010,male,6,2,4,0.0
2010,male,6,2,5,0.0
2010,male,6,3,2,0.0
2010,male,6,3,3,1.0
2010,male,6,3,4,0.0
2010,male,6,3,5,0.0
2010,male,6,4,4,1.0
2010,male,6,4,5,0.0
2010,female,7,0,0,1.0
2010,female,7,0,1,0.0
2010,female,7,0,4,0.0
2010,female,7,0,5,0.0
2010,female,7,1,0,0.0
2010,female,7,1,1,1.0
2010,female,7,1,2,0.0
2010,female,7,1,4,0.0
2010,female,7,1,5,0.0
2010,female,7,2,1,0.0
2010,female,7,2,2,1.0
2010,female,7,2,3,0.0
2010,female,7,2,4,0.0
2010,female,7,2,5,0.0
2010,female,7,3,2,0.0
2010,female,7,3,3,1.0
2010,female,7,3,4,0.0
2010,female,7,3,5,0.0
2010,female,7,4,4,1.0
2010,female,7,4,5,0.0
2010,male,7,0,0,1.0
2010,male,7,0,1,0.0
2010,male,7,0,4,0.0
2010,male,7,0,5,0.0
2010,male,7,1,0,0.0
2010,male,7,1,1,1.0
2010,male,7,1,2,0.0
2010,male,7,1,4,0.0
2010,male,7,1,5,0.0
2010,male,7,2,1,0.0
2010,male,7,2,2,1.0
2010,male,7,2,3,0.0
2010,male,7,2,4,0.0
2010,male,7,2,5,0.0
2010,male,7,3,2,0.0
2010,male,7,3,3,1.0
2010,male,7,3,4,0.0
2010,male,7,3,5,0.0
2010,male,7,4,4,1.0
2010,male,7,4,5,0.0
2010,female,8,0,0,1.0
2010,female,8,0,1,0.0
2010,female,8,0,4,0.0
2010,female,8,0,5,0.0
2010,female,8,1,0,0.0
2010,female,8,1,1,1.0
2010,female,8,1,2,0.0
2010,female,8,1,4,0.0
2010,female,8,1,5,0.0
2010,female,8,2,1,0.0
2010,female,8,2,2,1.0
2010,female,8,2,3,0.0
2010,female,8,2,4,0.0
2010,female,8,2,5,0.0
2010,female,8,3,2,0.0
2010,female,8,3,3,1.0
2010,female,8,3,4,0.0
2010,female,8,3,5,0.0
2010,female,8,4,4,1.0
2010,female,8,4,5,0.0
2010,male,8,0,0,1.0
2010,male,8,0,1,0.0
2010,male,8,0,4,0.0
2010,male,8,0,5,0.0
2010,male,8,1,0,0.0
2010,male,8,1,1,1.0
2010,male,8,1,2,0.0
2010,male,8,1,4,0.0
2010,male,8,1,5,0.0
2010,male,8,2,1,0.0
2010,male,8,2,2,1.0
2010,male,8,2,3,0.0
2010,male,8,2,4,0.0
2010,male,8,2,5,0.0
2010,male,8,3,2,0.0
2010,male,8,3,3,1.0
2010,male,8,3,4,0.0
2010,male,8,3,5,0.0
2010,male,8,4,4,1.0
2010,male,8,4,5,0.0
2010,female,9,0,0,1.0
2010,female,9,0,1,0.0
2010,female,9,0,4,0.0
2010,female,9,0,5,0.0
2010,female,9,1,0,0.0
2010,female,9,1,1,1.0
