age,initial_state,final_state,probability,mortality
65,0,5,0.0840843902369,0.0429651992936
66,0,5,0.0841544308765,0.0430017925181
67,0,5,0.0843758250404,0.0431174706582
68,0,5,0.0847508215975,0.0433134377433
69,0,5,0.0852860552001,0.0435932116511
70,0,5,0.0859945565366,0.0439636808869
71,0,5,0.0868968949015,0.0444357137803
72,0,5,0.0880210161201,0.0450240925134
73,0,5,0.0894009941565,0.0457468858613
74,0,5,0.0910754647526,0.0466246619262
75,0,5,0.0930866322121,0.0476800076718
76,0,5,0.0954804330553,0.0489376640069
77,0,5,0.0983079562381,0.0504253353412
78,0,5,0.101627839566,0.0521750370275
79,0,5,0.105509222278,0.0542247742081
80,0,5,0.110034907282,0.056620387798
81,0,5,0.115304560601,0.0594174999507
82,0,5,0.12143793803,0.0626835849246
83,0,5,0.128578211526,0.0665002472022
84,0,5,0.136895446205,0.0709657951426
85,0,5,0.146590147629,0.0761981530811
86,0,5,0.157896542278,0.0823380482325
87,0,5,0.171084815165,0.0895522064199
88,0,5,0.186460773688,0.0980359063068
89,0,5,0.20436004979,0.108013480926
90,0,5,0.225131369778,0.119733773099
91,0,5,0.249098163873,0.133454077312
92,0,5,0.276476271354,0.149398019843
93,0,5,0.307198511756,0.167653024127
94,0,5,0.34053096553,0.187923011981
95,0,5,0.374207610241,0.208929592414
96,0,5,0.402493710678,0.2270146901
97,0,5,0.41244873665,0.233481074369
98,0,5,0.380811497236,0.213114682584
99,0,5,0.288169579689,0.156299567197
100,0,5,0.162510664002,0.0848555654992
101,0,5,0.0674431593327,0.0343101736751
102,0,5,0.0219439627599,0.0110328431944
103,0,5,0.00593550180894,0.00297216779517
104,0,5,0.00136919254981,0.000684830771496
105,0,5,0.000270665168585,0.000135341742986
106,0,5,4.56986880422e-05,2.28496050733e-05
107,0,5,6.55120316741e-06,3.27560694846e-06
108,0,5,7.92213887083e-07,3.9610702196e-07
109,0,5,8.02719407066e-08,4.01359712132e-08
110,0,5,6.76969946509e-09,3.38484973383e-09
111,0,5,4.71999922681e-10,2.35999997322e-10
112,0,5,2.70248781325e-11,1.35124134104e-11
113,0,5,1.26216804243e-12,6.31161789499e-13
114,0,5,4.77622274928e-14,2.38697950294e-14
115,0,5,1.4546156694e-15,7.77156117238e-16
116,0,5,3.54152722152e-17,0.0
117,0,5,6.84689833475e-19,0.0
118,0,5,1.04409612758e-20,0.0
119,0,5,1.24742010559e-22,0.0
65,1,5,0.11148386159,0.0573886599398
66,1,5,0.120243766722,0.0620467851336
67,1,5,0.128231113575,0.0663143535297
68,1,5,0.135476605324,0.0702024980266
69,1,5,0.142040392364,0.0737389095747
70,1,5,0.148001602594,0.0769624073712
71,1,5,0.153450601497,0.0799188087438
72,1,5,0.158483925021,0.082658147156
73,1,5,0.163201616545,0.0852331535004
74,1,5,0.167706574229,0.0876988294586
75,1,5,0.172105440117,0.090112886187
76,1,5,0.176510524383,0.0925367910396
77,1,5,0.18104225208,0.0950371566083
78,1,5,0.185831638818,0.0976872154391
79,1,5,0.191022330568,0.100568140751
80,1,5,0.19677175341,0.103769981205
81,1,5,0.203250869961,0.107391950496
82,1,5,0.210641878758,0.111541716656
83,1,5,0.219132868763,0.116333133337
84,1,5,0.2289079201,0.121881511469
85,1,5,0.240130448475,0.128295031834
86,1,5,0.25291687989,0.135660298199
87,1,5,0.267297428888,0.144019526442
88,1,5,0.283161681552,0.153336951055
89,1,5,0.300190226617,0.163453663338
90,1,5,0.317781317809,0.174034696739
91,1,5,0.334993937887,0.184520961574
92,1,5,0.350542231431,0.194110572988
93,1,5,0.362881014386,0.201802664992
94,1,5,0.370403500938,0.206528829092
95,1,5,0.371724449327,0.20736165203
96,1,5,0.365964565697,0.203736579829
97,1,5,0.352929307321,0.195592955849
98,1,5,0.333117549943,0.183371289963
99,1,5,0.307579452476,0.167881890881
100,1,5,0.277705893684,0.150121122561
101,1,5,0.245033841783,0.131112114127
102,1,5,0.211107758228,0.111803939565
103,1,5,0.177389829064,0.09302140547
104,1,5,0.145191170612,0.0754412785617
105,1,5,0.115604039222,0.0595767119122
106,1,5,0.0894359754624,0.045765215192
107,1,5,0.0671630813984,0.034165170124
108,1,5,0.0489214451852,0.0247674355238
109,1,5,0.0345442478547,0.0174239204289
110,1,5,0.0236361439738,0.011888743093
111,1,5,0.0156655277128,0.00786368260848
112,1,5,0.0100535728517,0.0050394846285
113,1,5,0.00624476511017,0.00312727247164
114,1,5,0.00375237084846,0.00187794877002
115,1,5,0.00217980952906,0.00109049935896
116,1,5,0.00122332162907,0.00061184799352
117,1,5,0.000662705695216,0.000331407763161
118,1,5,0.000346239845756,0.000173134910727
119,1,5,0.000174303135528,8.71553657927e-05
65,2,5,0.205806031173,0.108824389457
66,2,5,0.210278723209,0.111337366156
67,2,5,0.213825551644,0.113335210829
68,2,5,0.216961921988,0.115105611945
69,2,5,0.220168140659,0.116919109401
70,2,5,0.223842017283,0.119001712421
71,2,5,0.228277982881,0.121522898922
72,2,5,0.233665924827,0.124594907958
73,2,5,0.24010154938,0.128278455802
74,2,5,0.247602237372,0.132591351998
75,2,5,0.256125178178,0.137518219426
76,2,5,0.265586497956,0.143020710843
77,2,5,0.275880796094,0.149048060167
78,2,5,0.286900307339,0.155547696634
79,2,5,0.298552399367,0.162475313419
80,2,5,0.310773827407,0.169803533739
81,2,5,0.323540382627,0.17752834859
82,2,5,0.336871254502,0.185672826501
83,2,5,0.35082830196,0.194288079994
84,2,5,0.365511154272,0.20345191876
85,2,5,0.381049413223,0.213265872879
86,2,5,0.397593164957,0.223851280332
87,2,5,0.415302648335,0.235344945962
88,2,5,0.434337444936,0.247894585139
89,2,5,0.454845114861,0.261653952988
90,2,5,0.476948909917,0.27677728874
91,2,5,0.500734110882,0.293412504273
92,2,5,0.526232688971,0.311692429921
93,2,5,0.553406399854,0.331723410446
94,2,5,0.582129075684,0.353570634705
95,2,5,0.612169724531,0.377239792963
96,2,5,0.643178904975,0.402654961497
97,2,5,0.67468138494,0.429632912012
98,2,5,0.706077826851,0.457854103447
99,2,5,0.736656617674,0.486830064866
100,2,5,0.765613598694,0.515865306649
101,2,5,0.792072391812,0.544009201641
102,2,5,0.815091854529,0.569990528627
103,2,5,0.833640832284,0.592128491169
104,2,5,0.846514611659,0.608227887234
105,2,5,0.852163252986,0.615504555276
106,2,5,0.848403607427,0.610646185876
107,2,5,0.832012975399,0.590137798033
108,2,5,0.798312109156,0.550903250019
109,2,5,0.741170820968,0.491247428476
110,2,5,0.654528547607,0.412231803861
111,2,5,0.536950209006,0.31952238024
112,2,5,0.398409512749,0.22437735512
113,2,5,0.261803512154,0.140816382927
114,2,5,0.151404818225,0.0788077389738
115,2,5,0.0777590002516,0.0396662039955
116,2,5,0.036038858597,0.0181847722698
117,2,5,0.0152911205844,0.00767501320606
118,2,5,0.00599415404104,0.00300158176707
119,2,5,0.00218030009668,0.00109074491057
