age,initial_state,final_state,probability,mortality
65,0,5,0.0447677421705,0.0226401594963
66,0,5,0.046746719496,0.0236530941802
67,0,5,0.0487927902758,0.0247014766113
68,0,5,0.0510082508481,0.0258379245978
69,0,5,0.0534461859278,0.0270900277661
70,0,5,0.0561174035127,0.0284637955859
71,0,5,0.0590002702304,0.0299485942644
72,0,5,0.0620512843947,0.0315224754259
73,0,5,0.0652118208634,0.0331555558744
74,0,5,0.0684070899515,0.0348093918565
75,0,5,0.071539431289,0.0364334124146
76,0,5,0.0744848427719,0.0379630167046
77,0,5,0.0771015716586,0.039323973266
78,0,5,0.0792513472639,0.0404435124829
79,0,5,0.0808244383496,0.041263559861
80,0,5,0.0817572621217,0.0417501693826
81,0,5,0.0820367836902,0.0418960305323
82,0,5,0.081693451433,0.0417168745266
83,0,5,0.0807881345953,0.0412446269227
84,0,5,0.0793978301007,0.0405198439262
85,0,5,0.0776025248125,0.0395847381536
86,0,5,0.0754737744108,0.0384771320508
87,0,5,0.073064743251,0.0372252305191
88,0,5,0.0704012351105,0.0358429770574
89,0,5,0.0674733569183,0.0343258090424
90,0,5,0.0642280471095,0.0326469347284
91,0,5,0.0605642884112,0.0307550817318
92,0,5,0.0563361342138,0.0285763716142
93,0,5,0.051373921529,0.0260256274054
94,0,5,0.0455385457584,0.0230345685534
95,0,5,0.0388175429003,0.0196008684726
96,0,5,0.0314386252686,0.0158448421456
97,0,5,0.0239189276164,0.012031846473
98,0,5,0.016952649448,0.00851255653337
99,0,5,0.0111513667827,0.00559131479189
100,0,5,0.00681199098477,0.00341181573569
101,0,5,0.00387632903868,0.00194004640937
102,0,5,0.00206191264993,0.00103148830903
103,0,5,0.00102773549221,0.000513999844026
104,0,5,0.00048048476651,0.000240271248392
105,0,5,0.000210637056322,0.000105324074741
106,0,5,8.64827934026e-05,4.3242331651e-05
107,0,5,3.31984715674e-05,1.65993735532e-05
108,0,5,1.18914346276e-05,5.94573498969e-06
109,0,5,3.96604018946e-06,1.98302206089e-06
110,0,5,1.22897320241e-06,6.14486790007e-07
111,0,5,3.5305075287e-07,1.76525391971e-07
112,0,5,9.38178022016e-08,4.6908902207e-08
113,0,5,2.30106959301e-08,1.15053480076e-08
114,0,5,5.19772574309e-09,2.59886290266e-09
