SEXES REUNIS
     Table de mortalité : année 1899

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

  39   61688     636 0.01031 29.15   61370
  40   61052     623 0.01020 28.45   60740
  41   60429     633 0.01048 27.73   60113
  42   59796     624 0.01043 27.02   59484
  43   59172     605 0.01023 26.30   58870
  44   58567     631 0.01078 25.57   58251
  45   57936     671 0.01159 24.84   57600
  46   57264     659 0.01150 24.13   56935
  47   56605     665 0.01175 23.40   56273
  48   55940     669 0.01195 22.67   55606
  49   55272     741 0.01340 21.94   54901
  50   54531     755 0.01384 21.23   54154
  51   53776     794 0.01476 20.53   53379
  52   52983     811 0.01532 19.83   52577
  53   52171     844 0.01619 19.13   51749
  54   51327     891 0.01735 18.43   50881
  55   50436     916 0.01817 17.75   49978
  56   49520     964 0.01946 17.07   49038
  57   48556     994 0.02046 16.40   48059
  58   47562    1022 0.02149 15.73   47051
  59   46540    1101 0.02367 15.06   45989
  60   45439    1154 0.02540 14.42   44861
  61   44284    1191 0.02690 13.78   43689
  62   43093    1269 0.02945 13.15   42459
  63   41824    1301 0.03110 12.53   41174
  64   40523    1384 0.03414 11.92   39831
  65   39139    1508 0.03852 11.32   38386
  66   37632    1539 0.04090 10.75   36862
  67   36093    1610 0.04460 10.19   35288
  68   34483    1684 0.04884  9.64   33641
  69   32798    1757 0.05356  9.11   31920
  70   31042    1874 0.06038  8.60   30105
  71   29167    1862 0.06384  8.12   28236
  72   27305    1989 0.07283  7.64   26311
  73   25317    1983 0.07831  7.20   24325
  74   23334    2003 0.08583  6.77   22333
  75   21331    2067 0.09689  6.36   20298
  76   19265    2002 0.10394  5.99   18263
  77   17262    1948 0.11284  5.62   16288
  78   15314    1825 0.11917  5.28   14402
  79   13489    1809 0.13413  4.92   12585
  80   11680    1715 0.14684  4.61   10822
  81    9965    1586 0.15913  4.31    9172
  82    8379    1462 0.17445  4.04    7648
  83    6917    1267 0.18319  3.78    6284
  84    5650    1138 0.20141  3.52    5081
  85    4512    1001 0.22183  3.28    4012
  86    3511     848 0.24139  3.07    3087
  87    2664     687 0.25808  2.89    2320
  88    1976     545 0.27588  2.72    1704
  89    1431     428 0.29932  2.57    1217
  90    1003     310 0.30943  2.45     848
  91     692     223 0.32133  2.33     581
  92     470     160 0.34025  2.19     390
  93     310     117 0.37787  2.06     251
  94     193      71 0.36760  2.01     157
  95     122      52 0.42419  1.89      96
  96      70      29 0.41031  1.92      56
  97      41      17 0.40741  1.90      33
  98      25      10 0.41323  1.86      19
  99      14       5 0.34931  1.82      12
 100       9       5 0.48603  1.53       7
 101       5       2 0.48936  1.51       4
 102       2       1 0.26724  1.48       2
 103       2       1 0.65770  0.84       1
 104       1       1 1.00000  0.50       0
 105       0                  0.00       0
 Total population stationnaire     4704186



               SEXES REUNIS
     Table de mortalité : année 1920

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000   11662 0.11662 52.09   94169
   1   88338    2214 0.02506 57.90   87231
   2   86124    1022 0.01187 58.38   85613
   3   85102     639 0.00751 58.07   84782
   4   84463     482 0.00570 57.51   84222
   5   83981     356 0.00424 56.84   83803
   6   83625     305 0.00364 56.08   83473
   7   83321     262 0.00314 55.28   83190
   8   83059     229 0.00276 54.45   82944
   9   82829     205 0.00248 53.60   82727
  10   82624     197 0.00239 52.73   82526
  11   82427     186 0.00226 51.86   82334
  12   82240     192 0.00234 50.98   82144
  13   82048     210 0.00256 50.09   81943
  14   81838     241 0.00294 49.22   81718
  15   81598     299 0.00367 48.36   81448
  16   81298     336 0.00413 47.54   81130
  17   80962     373 0.00461 46.74   80776
  18   80589     415 0.00514 45.95   80382
  19   80175     487 0.00607 45.19   79931
  20   79688     529 0.00664 44.46   79423
  21   79159     502 0.00635 43.75   78908
  22   78657     532 0.00676 43.03   78391
  23   78125     539 0.00690 42.32   77856
  24   77586     530 0.00684 41.61   77321
  25   77056     530 0.00687 40.89   76791
  26   76526     518 0.00677 40.17   76267
  27   76008     521 0.00686 39.44   75748
  28   75487     507 0.00672 38.71   75233
  29   74980     509 0.00679 37.97   74725
  30   74471     505 0.00679 37.22   74218
  31   73965     514 0.00695 36.48   73708
  32   73451     517 0.00705 35.73   73192
  33   72934     518 0.00710 34.98   72675
  34   72416     501 0.00692 34.22   72165
  35   71915     522 0.00725 33.46   71654
  36   71393     518 0.00726 32.70   71134
  37   70875     516 0.00729 31.93   70617
  38   70359     536 0.00761 31.17   70091
  39   69823     525 0.00751 30.40   69561
  40   69299     546 0.00789 29.63   69025
  41   68752     562 0.00818 28.86   68471
  42   68190     565 0.00828 28.09   67907
  43   67625     578 0.00855 27.32   67336
  44   67047     612 0.00913 26.55   66741
  45   66435     623 0.00937 25.79   66123
  46   65812     652 0.00991 25.03   65486
  47   65160     661 0.01014 24.28   64830
  48   64499     719 0.01115 23.52   64140
  49   63780     731 0.01146 22.78   63415
  50   63049     772 0.01224 22.04   62663
  51   62278     823 0.01321 21.31   61866
  52   61455     867 0.01410 20.59   61022
  53   60588     884 0.01459 19.87   60146
  54   59704     953 0.01596 19.16   59228
  55   58751     993 0.01691 18.46   58254
  56   57758    1027 0.01778 17.77   57244
  57   56731    1061 0.01869 17.08   56201
  58   55670    1137 0.02043 16.40   55102
  59   54533    1166 0.02137 15.73   53950
  60   53367    1267 0.02374 15.06   52734
  61   52100    1310 0.02514 14.42   51445
  62   50791    1411 0.02777 13.78   50085
  63   49380    1447 0.02931 13.16   48656
  64   47933    1545 0.03223 12.54   47160
  65   46388    1598 0.03444 11.94   45589
  66   44790    1692 0.03778 11.35   43944
  67   43098    1792 0.04159 10.77   42202
  68   41305    1858 0.04498 10.22   40376
  69   39448    1926 0.04882  9.68   38485
  70   37522    2021 0.05387  9.15   36511
  71   35500    2144 0.06039  8.64   34428
  72   33356    2193 0.06573  8.16   32260
  73   31164    2261 0.07256  7.70   30033
  74   28903    2268 0.07848  7.27   27768
  75   26634    2319 0.08707  6.84   25475
  76   24315    2307 0.09489  6.45   23162
  77   22008    2267 0.10300  6.07   20875
  78   19741    2269 0.11492  5.71   18607
  79   17473    2124 0.12158  5.39   16410
  80   15348    2034 0.13251  5.06   14331
  81   13314    1907 0.14327  4.76   12361
  82   11407    1770 0.15516  4.47   10522
  83    9637    1617 0.16780  4.20    8829
  84    8020    1453 0.18122  3.95    7293
  85    6567    1299 0.19788  3.71    5917
  86    5267    1091 0.20721  3.51    4722
  87    4176     932 0.22329  3.29    3710
  88    3243     775 0.23890  3.10    2856
  89    2469     620 0.25115  2.91    2159
  90    1849     527 0.28533  2.72    1585
  91    1321     373 0.28232  2.61    1135
  92     948     295 0.31108  2.44     801
  93     653     213 0.32624  2.31     547
  94     440     147 0.33311  2.19     367
  95     293     110 0.37425  2.03     239
  96     184      65 0.35333  1.95     151
  97     119      52 0.43682  1.74      93
  98      67      26 0.39181  1.70      54
  99      41      20 0.48073  1.47      31
 100      21      10 0.48364  1.37      16
 101      11       7 0.61092  1.19       8
 102       4       2 0.51052  1.27       3
 103       2       1 0.42862  1.07       2
 104       1       1 1.00000  0.50       1
 105       0                  0.00       0
 Total population stationnaire     5209247



               SEXES REUNIS
     Table de mortalité : année 1921

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000   11883 0.11883 52.72   94058
   1   88117    1903 0.02159 58.76   87165
   2   86214     784 0.00909 59.05   85822
   3   85430     508 0.00594 58.59   85176
   4   84922     391 0.00460 57.94   84727
   5   84531     327 0.00387 57.20   84368
   6   84204     267 0.00317 56.42   84071
   7   83937     228 0.00272 55.60   83823
   8   83709     205 0.00245 54.75   83607
   9   83504     187 0.00224 53.88   83411
  10   83318     176 0.00212 53.00   83229
  11   83141     177 0.00212 52.11   83053
  12   82965     182 0.00219 51.22   82874
  13   82783     194 0.00235 50.33   82686
  14   82589     226 0.00273 49.45   82476
  15   82363     262 0.00318 48.59   82232
  16   82101     301 0.00367 47.74   81951
  17   81800     350 0.00428 46.91   81625
  18   81450     386 0.00474 46.11   81257
  19   81064     506 0.00624 45.33   80811
  20   80558     507 0.00629 44.61   80304
  21   80051     487 0.00608 43.89   79808
  22   79564     487 0.00612 43.16   79320
  23   79077     495 0.00626 42.42   78829
  24   78582     507 0.00645 41.68   78328
  25   78075     480 0.00615 40.95   77835
  26   77594     488 0.00629 40.20   77350
  27   77106     479 0.00621 39.45   76867
  28   76627     477 0.00622 38.70   76389
  29   76151     480 0.00631 37.93   75910
  30   75670     463 0.00611 37.17   75439
  31   75208     465 0.00619 36.40   74975
  32   74742     481 0.00643 35.62   74502
  33   74261     477 0.00643 34.85   74023
  34   73784     506 0.00686 34.07   73531
  35   73278     497 0.00679 33.30   73029
  36   72781     510 0.00701 32.53   72525
  37   72270     531 0.00735 31.75   72005
  38   71739     549 0.00766 30.98   71464
  39   71189     547 0.00769 30.22   70916
  40   70642     556 0.00787 29.45   70364
  41   70086     564 0.00804 28.68   69804
  42   69522     600 0.00863 27.91   69222
  43   68923     605 0.00878 27.15   68620
  44   68318     595 0.00872 26.38   68020
  45   67722     634 0.00937 25.61   67405
  46   67088     674 0.01004 24.85   66751
  47   66414     692 0.01043 24.10   66068
  48   65722     735 0.01118 23.34   65355
  49   64987     772 0.01187 22.60   64601
  50   64216     787 0.01226 21.87   63822
  51   63428     835 0.01316 21.13   63011
  52   62594     877 0.01402 20.41   62155
  53   61716     924 0.01496 19.69   61254
  54   60793     971 0.01596 18.98   60307
  55   59822    1026 0.01715 18.28   59309
  56   58796    1066 0.01813 17.59   58263
  57   57730    1106 0.01916 16.91   57177
  58   56624    1183 0.02089 16.23   56033
  59   55441    1259 0.02271 15.56   54812
  60   54182    1287 0.02375 14.91   53539
  61   52895    1373 0.02597 14.26   52208
  62   51522    1468 0.02850 13.63   50788
  63   50054    1529 0.03054 13.02   49289
  64   48525    1598 0.03293 12.41   47726
  65   46927    1668 0.03555 11.82   46093
  66   45259    1714 0.03787 11.23   44402
  67   43545    1824 0.04188 10.66   42633
  68   41721    1917 0.04596 10.10   40763
  69   39804    2035 0.05113  9.56   38786
  70   37769    2097 0.05553  9.05   36720
  71   35671    2119 0.05941  8.55   34612
  72   33552    2318 0.06910  8.06   32393
  73   31233    2219 0.07106  7.62   30124
  74   29014    2309 0.07960  7.17   27859
  75   26705    2353 0.08810  6.75   25528
  76   24352    2302 0.09455  6.35   23201
  77   22050    2369 0.10743  5.96   20865
  78   19681    2220 0.11279  5.62   18571
  79   17461    2216 0.12694  5.27   16353
  80   15245    2068 0.13567  4.96   14210
  81   13176    1893 0.14368  4.66   12230
  82   11283    1813 0.16068  4.36   10377
  83    9470    1625 0.17164  4.10    8657
  84    7845    1466 0.18690  3.84    7112
  85    6379    1295 0.20305  3.61    5731
  86    5083    1089 0.21431  3.41    4539
  87    3994     913 0.22854  3.20    3538
  88    3081     747 0.24256  3.00    2708
  89    2334     629 0.26949  2.80    2019
  90    1705     487 0.28570  2.65    1461
  91    1218     367 0.30126  2.51    1034
  92     851     280 0.32854  2.37     711
  93     571     190 0.33192  2.29     477
  94     382     129 0.33849  2.18     317
  95     253      96 0.37954  2.04     205
  96     157      59 0.37406  1.98     127
  97      98      36 0.36511  1.86      80
  98      62      25 0.40820  1.64      50
  99      37      16 0.42298  1.43      29
 100      21      13 0.61037  1.11      15
 101       8       5 0.63635  1.07       6
 102       3       2 0.59997  1.07       2
 103       1       1 0.58332  0.92       1
 104       1       1 1.00000  0.50       0
 105       0                  0.00       0
 Total population stationnaire     5272214



               SEXES REUNIS
     Table de mortalité : année 1922

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    8911 0.08911 54.88   95544
   1   91089    1522 0.01671 59.20   90328
   2   89567     690 0.00771 59.20   89222
   3   88876     460 0.00518 58.66   88646
   4   88416     347 0.00393 57.96   88243
   5   88069     274 0.00311 57.19   87932
   6   87795     215 0.00245 56.36   87687
   7   87579     196 0.00223 55.50   87482
   8   87384     171 0.00196 54.62   87298
   9   87213     170 0.00194 53.73   87128
  10   87043     165 0.00189 52.83   86961
  11   86879     153 0.00176 51.93   86802
  12   86725     168 0.00194 51.02   86641
  13   86557     185 0.00214 50.12   86465
  14   86372     220 0.00255 49.23   86262
  15   86152     262 0.00304 48.35   86021
  16   85890     304 0.00353 47.50   85738
  17   85586     367 0.00429 46.66   85403
  18   85220     396 0.00465 45.86   85021
  19   84823     426 0.00502 45.08   84610
  20   84398     455 0.00540 44.30   84170
  21   83942     471 0.00561 43.54   83707
  22   83471     473 0.00567 42.78   83235
  23   82998     512 0.00617 42.02   82742
  24   82486     494 0.00599 41.28   82239
  25   81991     515 0.00628 40.53   81734
  26   81477     496 0.00609 39.78   81229
  27   80981     495 0.00611 39.02   80733
  28   80486     500 0.00621 38.26   80236
  29   79987     493 0.00616 37.49   79740
  30   79494     501 0.00630 36.72   79243
  31   78993     493 0.00625 35.95   78746
  32   78499     476 0.00607 35.17   78261
  33   78023     514 0.00659 34.38   77766
  34   77509     521 0.00672 33.61   77248
  35   76988     539 0.00700 32.83   76718
  36   76449     518 0.00678 32.06   76190
  37   75931     558 0.00734 31.28   75652
  38   75373     579 0.00768 30.50   75084
  39   74794     566 0.00757 29.74   74511
  40   74228     593 0.00799 28.96   73931
  41   73635     587 0.00798 28.19   73341
  42   73047     612 0.00837 27.41   72742
  43   72436     650 0.00897 26.64   72111
  44   71786     684 0.00953 25.88   71444
  45   71102     709 0.00997 25.12   70747
  46   70393     736 0.01045 24.37   70025
  47   69658     743 0.01067 23.62   69286
  48   68914     815 0.01183 22.87   68507
  49   68099     851 0.01249 22.14   67674
  50   67248     868 0.01291 21.41   66814
  51   66380     858 0.01292 20.68   65952
  52   65523     933 0.01425 19.95   65056
  53   64589    1001 0.01549 19.23   64089
  54   63589    1036 0.01630 18.52   63070
  55   62552    1094 0.01749 17.82   62005
  56   61458    1161 0.01889 17.13   60878
  57   60297    1219 0.02022 16.45   59688
  58   59078    1279 0.02165 15.78   58439
  59   57799    1353 0.02342 15.12   57122
  60   56446    1437 0.02546 14.47   55727
  61   55009    1427 0.02594 13.83   54295
  62   53582    1532 0.02858 13.19   52816
  63   52050    1663 0.03194 12.56   51219
  64   50388    1757 0.03487 11.96   49509
  65   48631    1843 0.03790 11.37   47709
  66   46788    1875 0.04007 10.80   45850
  67   44913    1974 0.04395 10.23   43926
  68   42939    2052 0.04780  9.68   41913
  69   40887    2221 0.05431  9.14   39776
  70   38666    2254 0.05829  8.64   37539
  71   36412    2328 0.06395  8.14   35248
  72   34084    2384 0.06996  7.66   32891
  73   31699    2513 0.07928  7.20   30443
  74   29186    2489 0.08529  6.78   27941
  75   26697    2572 0.09636  6.36   25410
  76   24124    2528 0.10481  5.99   22860
  77   21596    2481 0.11490  5.63   20355
  78   19114    2368 0.12391  5.30   17930
  79   16746    2260 0.13496  4.98   15616
  80   14486    2144 0.14802  4.68   13414
  81   12342    1885 0.15274  4.40   11399
  82   10457    1801 0.17220  4.11    9556
  83    8656    1614 0.18643  3.85    7849
  84    7042    1408 0.20000  3.62    6338
  85    5634    1206 0.21410  3.40    5031
  86    4428    1031 0.23286  3.20    3912
  87    3397     843 0.24829  3.01    2975
  88    2553     662 0.25935  2.84    2222
  89    1891     532 0.28133  2.67    1625
  90    1359     409 0.30111  2.51    1154
  91     950     285 0.30051  2.38     807
  92     664     229 0.34438  2.19     550
  93     436     160 0.36777  2.08     355
  94     275     103 0.37424  1.99     224
  95     172      68 0.39222  1.89     139
  96     105      45 0.43265  1.78      82
  97      59      23 0.39180  1.76      48
  98      36      16 0.43775  1.57      28
  99      20      10 0.47726  1.40      15
 100      11       6 0.52197  1.22       8
 101       5       3 0.59262  1.02       4
 102       2       2 0.76926  0.77       1
 103       0       0 0.85001  0.65       0
 104       0       0 1.00000  0.50       0
 105       0                  0.00       0
 Total population stationnaire     5488251



               SEXES REUNIS
     Table de mortalité : année 1923

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000   10016 0.10016 54.64   94992
   1   89984    1916 0.02130 59.66   89026
   2   88067     696 0.00790 59.95   87720
   3   87372     447 0.00512 59.42   87148
   4   86924     330 0.00380 58.73   86759
   5   86594     268 0.00310 57.95   86460
   6   86325     238 0.00276 57.13   86206
   7   86087     199 0.00231 56.28   85988
   8   85888     158 0.00184 55.41   85809
   9   85730     149 0.00174 54.51   85656
  10   85581     154 0.00180 53.61   85504
  11   85427     156 0.00183 52.70   85349
  12   85271     155 0.00182 51.80   85194
  13   85116     178 0.00210 50.89   85027
  14   84938     220 0.00259 50.00   84828
  15   84717     273 0.00322 49.13   84581
  16   84445     303 0.00359 48.28   84293
  17   84141     335 0.00398 47.46   83974
  18   83806     390 0.00465 46.64   83611
  19   83416     422 0.00505 45.86   83206
  20   82995     474 0.00571 45.09   82758
  21   82521     452 0.00547 44.35   82295
  22   82069     449 0.00547 43.59   81845
  23   81620     454 0.00556 42.82   81393
  24   81166     473 0.00583 42.06   80930
  25   80693     470 0.00582 41.31   80458
  26   80223     472 0.00589 40.54   79987
  27   79751     474 0.00594 39.78   79514
  28   79278     450 0.00568 39.02   79053
  29   78828     455 0.00578 38.24   78600
  30   78372     465 0.00593 37.46   78140
  31   77908     450 0.00578 36.68   77683
  32   77457     452 0.00584 35.89   77231
  33   77005     455 0.00591 35.09   76778
  34   76550     498 0.00650 34.30   76301
  35   76052     495 0.00650 33.52   75805
  36   75558     510 0.00675 32.74   75303
  37   75048     524 0.00698 31.96   74786
  38   74524     528 0.00708 31.18   74260
  39   73996     566 0.00764 30.40   73714
  40   73431     579 0.00789 29.63   73141
  41   72851     566 0.00777 28.86   72569
  42   72286     596 0.00824 28.08   71988
  43   71690     609 0.00849 27.31   71386
  44   71081     646 0.00909 26.54   70758
  45   70435     665 0.00944 25.78   70103
  46   69771     678 0.00972 25.02   69432
  47   69092     714 0.01033 24.26   68736
  48   68379     745 0.01090 23.51   68006
  49   67634     791 0.01170 22.76   67238
  50   66843     851 0.01273 22.02   66417
  51   65992     841 0.01275 21.30   65571
  52   65151     867 0.01331 20.57   64717
  53   64284     926 0.01441 19.84   63821
  54   63357     989 0.01561 19.12   62863
  55   62368    1046 0.01678 18.42   61845
  56   61322    1116 0.01820 17.72   60764
  57   60206    1137 0.01889 17.04   59637
  58   59069    1203 0.02037 16.36   58467
  59   57866    1327 0.02294 15.69   57202
  60   56538    1358 0.02401 15.05   55860
  61   55181    1416 0.02567 14.41   54473
  62   53764    1438 0.02675 13.77   53045
  63   52326    1569 0.02998 13.14   51542
  64   50757    1687 0.03323 12.53   49914
  65   49070    1720 0.03506 11.94   48210
  66   47350    1816 0.03834 11.36   46442
  67   45535    1911 0.04196 10.79   44579
  68   43624    1925 0.04412 10.24   42662
  69   41699    2077 0.04981  9.69   40661
  70   39622    2131 0.05379  9.17   38557
  71   37491    2197 0.05860  8.66   36392
  72   35294    2297 0.06509  8.17   34145
  73   32997    2301 0.06974  7.71   31846
  74   30695    2438 0.07944  7.25   29476
  75   28257    2404 0.08506  6.83   27055
  76   25854    2398 0.09275  6.42   24655
  77   23456    2420 0.10317  6.02   22246
  78   21036    2356 0.11200  5.66   19858
  79   18680    2355 0.12607  5.31   17502
  80   16325    2231 0.13665  5.00   15209
  81   14094    2067 0.14666  4.72   13060
  82   12027    1863 0.15492  4.44   11095
  83   10164    1722 0.16939  4.16    9303
  84    8442    1577 0.18675  3.91    7654
  85    6866    1332 0.19397  3.69    6200
  86    5534    1177 0.21270  3.46    4945
  87    4357    1004 0.23038  3.26    3855
  88    3353     794 0.23683  3.09    2956
  89    2559     659 0.25760  2.89    2229
  90    1900     534 0.28093  2.72    1633
  91    1366     391 0.28626  2.59    1171
  92     975     301 0.30828  2.42     825
  93     674     224 0.33220  2.28     562
  94     450     159 0.35269  2.16     371
  95     292     104 0.35763  2.07     239
  96     187      71 0.37940  1.94     152
  97     116      46 0.39613  1.82      93
  98      70      29 0.40751  1.69      56
  99      42      19 0.45196  1.51      32
 100      23      10 0.45241  1.33      18
 101      12       8 0.61289  1.02       9
 102       5       3 0.68181  0.85       3
 103       2       1 0.88888  0.61       1
 104       0       0 1.00000  0.50       0
 105       0                  0.00       0
 Total population stationnaire     5463613



               SEXES REUNIS
     Table de mortalité : année 1924

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    8926 0.08926 55.21   95537
   1   91074    1652 0.01814 59.57   90248
   2   89422     651 0.00728 59.66   89096
   3   88770     408 0.00459 59.10   88567
   4   88363     302 0.00341 58.37   88212
   5   88061     245 0.00278 57.57   87939
   6   87816     214 0.00243 56.72   87709
   7   87602     181 0.00207 55.86   87512
   8   87421     166 0.00190 54.98   87338
   9   87255     151 0.00173 54.08   87179
  10   87104     150 0.00172 53.17   87029
  11   86954     147 0.00169 52.26   86880
  12   86806     160 0.00184 51.35   86727
  13   86647     177 0.00204 50.45   86558
  14   86470     223 0.00258 49.55   86358
  15   86247     263 0.00305 48.67   86115
  16   85984     320 0.00372 47.82   85824
  17   85663     353 0.00412 47.00   85487
  18   85311     401 0.00470 46.19   85110
  19   84910     435 0.00513 45.41   84692
  20   84474     489 0.00579 44.64   84230
  21   83985     473 0.00564 43.90   83749
  22   83512     489 0.00586 43.14   83267
  23   83023     465 0.00560 42.39   82790
  24   82558     480 0.00581 41.63   82318
  25   82078     486 0.00592 40.87   81835
  26   81592     468 0.00574 40.11   81358
  27   81124     484 0.00596 39.34   80882
  28   80640     466 0.00578 38.57   80407
  29   80174     460 0.00574 37.79   79944
  30   79714     478 0.00599 37.01   79475
  31   79236     480 0.00605 36.23   78996
  32   78756     469 0.00595 35.45   78522
  33   78287     484 0.00619 34.65   78045
  34   77803     485 0.00623 33.87   77561
  35   77318     518 0.00670 33.08   77059
  36   76800     524 0.00683 32.30   76538
  37   76275     525 0.00688 31.52   76013
  38   75751     559 0.00738 30.73   75471
  39   75192     569 0.00757 29.95   74907
  40   74623     617 0.00827 29.18   74314
  41   74005     609 0.00823 28.42   73701
  42   73397     621 0.00846 27.65   73086
  43   72775     646 0.00887 26.88   72452
  44   72130     678 0.00940 26.12   71790
  45   71451     714 0.01000 25.36   71094
  46   70737     725 0.01025 24.61   70374
  47   70012     767 0.01096 23.86   69628
  48   69245     782 0.01130 23.12   68854
  49   68463     850 0.01242 22.38   68037
  50   67612     873 0.01291 21.65   67176
  51   66740     865 0.01296 20.93   66307
  52   65874     958 0.01454 20.20   65395
  53   64917     955 0.01471 19.49   64439
  54   63962    1034 0.01616 18.77   63445
  55   62928    1083 0.01721 18.07   62386
  56   61845    1142 0.01847 17.38   61274
  57   60703    1233 0.02031 16.70   60086
  58   59470    1262 0.02122 16.03   58839
  59   58208    1353 0.02325 15.37   57531
  60   56855    1438 0.02530 14.73   56135
  61   55416    1482 0.02674 14.09   54675
  62   53934    1576 0.02923 13.47   53146
  63   52358    1570 0.02998 12.86   51573
  64   50788    1690 0.03327 12.24   49943
  65   49098    1832 0.03731 11.64   48182
  66   47266    1885 0.03988 11.08   46324
  67   45382    1947 0.04289 10.52   44408
  68   43435    2025 0.04661  9.97   42423
  69   41410    2109 0.05093  9.43   40356
  70   39301    2261 0.05754  8.91   38171
  71   37040    2243 0.06055  8.42   35919
  72   34797    2375 0.06825  7.93   33610
  73   32422    2422 0.07470  7.48   31211
  74   30000    2467 0.08225  7.04   28767
  75   27533    2537 0.09216  6.62   26264
  76   24995    2425 0.09704  6.25   23783
  77   22570    2426 0.10750  5.86   21357
  78   20144    2391 0.11868  5.51   18948
  79   17753    2283 0.12859  5.18   16612
  80   15470    2163 0.13982  4.87   14389
  81   13307    2007 0.15082  4.59   12304
  82   11300    1873 0.16573  4.31   10364
  83    9428    1656 0.17569  4.07    8599
  84    7771    1468 0.18887  3.83    7037
  85    6303    1286 0.20395  3.60    5661
  86    5018    1054 0.20996  3.40    4491
  87    3964     929 0.23426  3.17    3500
  88    3036     768 0.25310  2.99    2651
  89    2267     588 0.25953  2.83    1973
  90    1679     476 0.28349  2.65    1441
  91    1203     360 0.29891  2.50    1023
  92     843     268 0.31767  2.35     709
  93     575     198 0.34336  2.21     477
  94     378     142 0.37461  2.11     307
  95     236      84 0.35462  2.07     194
  96     153      59 0.38486  1.94     123
  97      94      35 0.37203  1.83      76
  98      59      25 0.42280  1.62      46
  99      34      17 0.48855  1.45      26
 100      17       8 0.45803  1.35      13
 101       9       5 0.51622  1.07       7
 102       5       4 0.81956  0.68       3
 103       1       1 1.00000  0.50       0
 104       0       0 0.00000  0.00       0
 105       0                  0.00       0
 Total population stationnaire     5520915



               SEXES REUNIS
     Table de mortalité : année 1925

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    9279 0.09279 54.38   95361
   1   90721    1950 0.02150 58.89   89746
   2   88771     741 0.00834 59.18   88401
   3   88031     452 0.00513 58.67   87805
   4   87579     334 0.00381 57.97   87412
   5   87245     272 0.00312 57.19   87109
   6   86973     239 0.00275 56.37   86854
   7   86734     194 0.00223 55.52   86637
   8   86540     169 0.00195 54.64   86456
   9   86371     160 0.00185 53.75   86291
  10   86211     147 0.00170 52.85   86138
  11   86064     152 0.00177 51.94   85988
  12   85912     167 0.00195 51.03   85829
  13   85745     195 0.00227 50.13   85648
  14   85550     221 0.00259 49.24   85440
  15   85329     284 0.00333 48.37   85187
  16   85045     321 0.00378 47.53   84884
  17   84723     371 0.00438 46.71   84538
  18   84352     406 0.00481 45.91   84149
  19   83947     442 0.00526 45.13   83726
  20   83505     488 0.00585 44.36   83261
  21   83017     482 0.00580 43.62   82776
  22   82535     488 0.00592 42.87   82291
  23   82047     490 0.00597 42.13   81802
  24   81557     464 0.00569 41.38   81325
  25   81093     471 0.00581 40.61   80858
  26   80622     461 0.00572 39.84   80391
  27   80161     468 0.00583 39.07   79927
  28   79693     468 0.00587 38.30   79459
  29   79226     470 0.00594 37.52   78990
  30   78755     477 0.00605 36.74   78517
  31   78278     477 0.00610 35.96   78040
  32   77801     476 0.00612 35.18   77563
  33   77325     479 0.00620 34.39   77085
  34   76845     511 0.00664 33.60   76590
  35   76335     518 0.00679 32.83   76076
  36   75817     513 0.00677 32.05   75560
  37   75304     531 0.00704 31.26   75038
  38   74773     557 0.00744 30.48   74495
  39   74216     567 0.00765 29.70   73933
  40   73649     612 0.00831 28.93   73343
  41   73037     636 0.00871 28.17   72719
  42   72401     640 0.00884 27.41   72081
  43   71760     667 0.00929 26.65   71427
  44   71094     682 0.00960 25.90   70753
  45   70411     704 0.01000 25.14   70059
  46   69707     726 0.01042 24.39   69344
  47   68981     781 0.01133 23.64   68590
  48   68200     791 0.01159 22.91   67804
  49   67409     861 0.01277 22.17   66978
  50   66548     885 0.01330 21.45   66105
  51   65663     936 0.01426 20.73   65195
  52   64727     976 0.01508 20.03   64239
  53   63750     995 0.01560 19.33   63253
  54   62756    1014 0.01615 18.62   62249
  55   61742    1081 0.01751 17.92   61202
  56   60661    1139 0.01877 17.23   60092
  57   59522    1222 0.02054 16.55   58911
  58   58300    1265 0.02169 15.89   57668
  59   57035    1330 0.02331 15.23   56370
  60   55706    1416 0.02542 14.58   54998
  61   54290    1464 0.02697 13.95   53558
  62   52826    1543 0.02921 13.32   52054
  63   51283    1659 0.03235 12.71   50453
  64   49623    1673 0.03371 12.12   48787
  65   47951    1751 0.03652 11.52   47075
  66   46199    1868 0.04043 10.94   45265
  67   44331    1964 0.04430 10.38   43349
  68   42368    2048 0.04833  9.84   41344
  69   40320    2100 0.05209  9.31   39270
  70   38220    2164 0.05661  8.79   37138
  71   36056    2270 0.06295  8.29   34921
  72   33786    2346 0.06942  7.82   32614
  73   31441    2328 0.07406  7.36   30277
  74   29112    2426 0.08332  6.91   27900
  75   26687    2376 0.08903  6.49   25499
