SEXES REUNIS
     Table de mortalité : année 1899

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

  63   42738    1606 0.03758 11.69   41935
  64   41132    1695 0.04120 11.13   40284
  65   39437    1708 0.04331 10.59   38583
  66   37729    1735 0.04600 10.04   36862
  67   35994    1829 0.05081  9.50   35079
  68   34165    1926 0.05638  8.98   33202
  69   32239    1952 0.06054  8.49   31263
  70   30287    2035 0.06719  8.01   29269
  71   28252    2033 0.07194  7.55   27236
  72   26219    2118 0.08079  7.09   25160
  73   24101    2168 0.08994  6.67   23017
  74   21934    2139 0.09751  6.28   20864
  75   19795    2145 0.10836  5.91   18722
  76   17650    1952 0.11062  5.56   16674
  77   15697    1958 0.12470  5.19   14719
  78   13740    1893 0.13776  4.86   12794
  79   11847    1819 0.15351  4.56   10938
  80   10029    1660 0.16553  4.29    9198
  81    8368    1432 0.17111  4.05    7652
  82    6937    1318 0.18997  3.78    6278
  83    5619    1214 0.21609  3.55    5012
  84    4405     983 0.22318  3.39    3913
  85    3422     789 0.23047  3.22    3027
  86    2633     639 0.24255  3.03    2314
  87    1994     535 0.26835  2.84    1727
  88    1459     421 0.28880  2.70    1248
  89    1038     297 0.28619  2.60     889
  90     741     231 0.31230  2.44     625
  91     509     169 0.33153  2.32     425
  92     341     114 0.33516  2.23     283
  93     226      85 0.37681  2.10     184
  94     141      50 0.35344  2.06     116
  95      91      36 0.39647  1.92      73
  96      55      21 0.39041  1.85      44
  97      34      15 0.43970  1.71      26
  98      19       8 0.43055  1.66      15
  99      11       5 0.47368  1.54       8
 100       6       3 0.49794  1.48       4
 101       3       1 0.47479  1.46       2
 102       1       1 0.50435  1.32       1
 103       1       0 0.64444  1.16       0
 104       0       0 0.60226  1.35       0
 105       0                  1.64       0
 Total population stationnaire     4830446



               SEXES REUNIS
     Table de mortalité : année 1908

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000   13244 0.13244 49.41   93378
   1   86756    2490 0.02870 55.88   85510
   2   84265    1015 0.01204 56.52   83758
   3   83250     683 0.00820 56.20   82909
   4   82567     514 0.00622 55.66   82311
   5   82054     407 0.00496 55.00   81850
   6   81647     315 0.00386 54.28   81489
   7   81332     266 0.00327 53.48   81199
   8   81066     230 0.00284 52.66   80951
   9   80836     208 0.00257 51.81   80732
  10   80628     195 0.00242 50.94   80530
