period,sex,age,initial_state,final_state,probability,mortality
2010,male,50,0,4,0.007390781175617231,0.003702243892729218
2010,male,51,0,4,0.007863135418135386,0.003939326857111292
2010,male,52,0,4,0.00836060101812242,0.004189074682408589
2010,male,53,0,4,0.008885667027636516,0.004452746991704282
2010,male,54,0,4,0.009441199006846843,0.004731794442747628
2010,male,55,0,4,0.010030483930456375,0.005027881762738162
2010,male,56,0,4,0.01065728138610305,0.005342914058369064
2010,male,57,0,4,0.01132588221123949,0.0056790670066527715
2010,male,58,0,4,0.012041175877013746,0.006038821621796808
2010,male,59,0,4,0.012808728108658877,0.006425004395067768
2010,male,60,0,4,0.013634870432919577,0.006840833719448325
2010,male,61,0,4,0.01452680356407041,0.007289973639870273
2010,male,62,0,4,0.015492716779332854,0.0077765961132204575
2010,male,63,0,4,0.016541925687534095,0.00830545311952735
2010,male,64,0,4,0.017685031053309135,0.008881960134570654
2010,male,65,0,4,0.01893410158903973,0.009512292650251886
2010,male,66,0,4,0.02030288384613982,0.01020349760475503
2010,male,67,0,4,0.021807042493401478,0.010963621747613117
2010,male,68,0,4,0.023464434315272578,0.011801859096705503
2010,male,69,0,4,0.025295419129895965,0.012728719717774784
2010,male,70,0,4,0.027323210422841446,0.013756222033741494
2010,male,71,0,4,0.02957426769308716,0.014898110697724398
2010,male,72,0,4,0.03207873114958146,0.01617010166878008
2010,male,73,0,4,0.03487089727162473,0.01759015541965625
2010,male,74,0,4,0.037989730598761984,0.019178778063383195
2010,male,75,0,4,0.041479402646136955,0.020959348467152195
2010,male,76,0,4,0.045389842720500014,0.022958466962893165
2010,male,77,0,4,0.04977727731652808,0.025206317889025276
2010,male,78,0,4,0.0547047244472472,0.02773703374408376
2010,male,79,0,4,0.060242396622237945,0.03058904308969046
2010,male,80,0,4,0.06646795147499904,0.03380537751185919
2010,male,81,0,4,0.07346651303390651,0.037433905144122814
2010,male,82,0,4,0.08133037089686442,0.041527450000191424
2010,male,83,0,4,0.09015825172442415,0.046143748631076065
2010,male,84,0,4,0.10005405135674006,0.051345189943539093
2010,male,85,0,4,0.1111249215258268,0.05719828252480719
2010,male,86,0,4,0.1234786283573127,0.0637727991333048
2010,male,87,0,4,0.13722014608418798,0.0711405628859596
2010,male,88,0,4,0.15244752192075292,0.07937386628488163
2010,male,89,0,4,0.16924714553550702,0.08854355317190665
2010,male,90,0,4,0.18768867047969193,0.09871684276232695
2010,male,91,0,4,0.20781994789044228,0.10995502804096602
2010,male,92,0,4,0.2296624192972365,0.12231122788156645
2010,male,93,0,4,0.25320744618849,0.13582840025171505
2010,male,94,0,4,0.2784140044292115,0.1505378198113888
2010,male,95,0,4,0.3052080318593759,0.16645817852934097
2010,male,96,0,4,0.3334835012703626,0.18359538295668765
2010,male,97,0,4,0.36310503818921075,0.20194300841933022
2010,male,98,0,4,0.39391167176256314,0.22148325115162948
2010,male,99,0,4,0.42572115800768184,0.24218812229398368
2010,male,100,0,4,0.4583342906739031,0.2640205781911448
2010,male,101,0,4,0.4915387259005402,0.28693529459139555
2010,male,102,0,4,0.5251120655056937,0.31087886805416687
2010,male,103,0,4,0.5588242139145676,0.3357893511201191
2010,male,104,0,4,0.5924392773353291,0.3615951733698508
2010,male,105,0,4,0.6257174495747242,0.3882136398829442
2010,male,106,0,4,0.6584173868555172,0.41554930648986066
2010,male,107,0,4,0.6902995023900659,0.443492589797823
2010,male,108,0,4,0.7211304266396306,0.47191897083840495
2010,male,109,0,4,0.7506886203699951,0.5006890952222203
2010,male,110,0,4,0.778770848412523,0.5296499690789029
2010,male,111,0,4,0.8051989800449298,0.5586373147228346
2010,male,112,0,4,0.8298264273963805,0.587479003439074
2010,male,113,0,4,0.8525434986989849,0.615999347264858
2010,male,114,0,4,0.8732810358061066,0.6440239274980784
2010,male,115,0,4,0.8920119055044009,0.6713845796442305
2010,male,116,0,4,0.9087501801997265,0.6979241489289926
2010,male,117,0,4,0.9235481228353892,0.7235006742058658
2010,male,118,0,4,0.936491332710139,0.7479907396743901
2010,male,119,0,4,0.9476925760500875,0.7712918367221833
2010,male,120,0,4,0.9572849006738623,0.7933236846512457
2010,male,50,1,4,0.018608039376184358,0.00934770952477193
2010,male,51,1,4,0.020456630894436625,0.01028116664096801
