age,0,1,2,3,4
65,0.545454545455,0.272727272727,0.0909090909091,0.0909090909091,0.0
66,0.8,0.133333333333,0.0533333333333,0.0133333333333,0.0
67,0.565217391304,0.347826086957,0.0695652173913,0.0173913043478,0.0
68,0.574468085106,0.36170212766,0.0496453900709,0.0141843971631,0.0
69,0.505050505051,0.373737373737,0.0909090909091,0.030303030303,0.0
70,0.477272727273,0.397727272727,0.0909090909091,0.0340909090909,0.0
71,0.457142857143,0.414285714286,0.128571428571,0.0,0.0
72,0.448275862069,0.448275862069,0.0862068965517,0.0172413793103,0.0
73,0.418181818182,0.472727272727,0.0727272727273,0.0363636363636,0.0
74,0.40206185567,0.422680412371,0.134020618557,0.0412371134021,0.0
75,0.296296296296,0.481481481481,0.172839506173,0.037037037037,0.0123456790123
76,0.389473684211,0.473684210526,0.115789473684,0.0210526315789,0.0
77,0.406779661017,0.423728813559,0.118644067797,0.0338983050847,0.0169491525424
78,0.224719101124,0.539325842697,0.191011235955,0.0224719101124,0.0224719101124
79,0.153846153846,0.576923076923,0.211538461538,0.0576923076923,0.0
80,0.151515151515,0.575757575758,0.242424242424,0.030303030303,0.0
81,0.225,0.4,0.275,0.1,0.0
82,0.0714285714286,0.446428571429,0.392857142857,0.0892857142857,0.0
83,0.0810810810811,0.459459459459,0.378378378378,0.0810810810811,0.0
84,0.1,0.4,0.45,0.05,0.0
85,0.2,0.32,0.28,0.16,0.04
86,0.0344827586207,0.413793103448,0.51724137931,0.0344827586207,0.0
87,0.0,0.307692307692,0.461538461538,0.230769230769,0.0
88,0.0588235294118,0.235294117647,0.705882352941,0.0,0.0
89,0.0,0.5,0.4375,0.0,0.0625
90,0.0,0.0,1.0,0.0,0.0
91,0.125,0.25,0.375,0.125,0.125
92,0.0,0.166666666667,0.666666666667,0.166666666667,0.0
93,0.0,0.0,1.0,0.0,0.0
94,0.0,0.0,1.0,0.0,0.0
95,0.333333333333,0.333333333333,0.333333333333,0.0,0.0
96,0.0,0.0,0.0,1.0,0.0
98,0.0,0.0,1.0,0.0,0.0
100,0.0,0.0,1.0,0.0,0.0
